ID,Mapping
5419,Pharmaceutical goods; waste pharmaceuticals
5513,"Resinoids~Oils, essential; concentrates in fats, fixed oils, waxes and the like, terpenic by"
5514,Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries
5530,"Soap and organic surface~Perfumes and deodorizers; perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)~Perfumes and deodorizors; perfuming or deodorizing preparations n.e.s. in heading no. 3307"
5541,Soap; in forms n.e.c. in item no. 3401.11~Soap; in forms n.e.s. in item no. 3401.11
5542,Washing and cleaning preparations; surface
5543,"Polishes, creams and similar preparations; n.e.s. in heading no. 3405, excluding waxes of heading no. 3404~Polishes, creams and similar preparations; n.e.c. in heading no. 3405, excluding waxes of heading no. 3404"
5629,"Fertilizers, animal or vegetable; whether or not mixed together or chemically treated; fertilizers, produced by the mixing or chemical treatment of animal or vegetable products"
5722,"Fuses and detonators; safety or detonating fuses, percussion or detonating caps, igniters, electric detonators"
5723,"Pyrotechnic products; signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding fireworks)"
5829,"Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Polyethers; in primary forms, excluding polyacetals~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5827,"Silicones; in primary forms~Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5828,Ion
5838,Ion
5839,"Plastics; polymers of vinyl chloride, containing by weight, less than 6% of plasticisers; plates, sheets, film, foil and strip (not self~Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Plastics; plates, sheets, film, foil and strip, of plastics n.e.s. in heading no. 3921, cellular~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5837,"Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Vinyl acetate copolymers; (other than in aqueous dispersion), in primary forms~Vinyl acetate polymers; (other than in aqueous dispersion), in primary forms~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5841,"Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Plastics; plates, sheets, film, foil and strip, of regenerated cellulose, cellular~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5842,Cellulose nitrates (including collodions); in primary forms
5849,"Cellulose and its chemical derivatives; n.e.s. in item no. 3912, in primary forms"
5851,"Wallpaper and similar wall coverings and window transparencies of paper; n.e.c. in heading 4814~Polymers, natural and modified natural; in primary forms (excluding alginic acid, its salts and esters)~Wallpaper and similar wall coverings and window transparencies; of paper, n.e.c. in heading no. 4814"
5911,"Insecticides; other than containing goods specified in Subheading Notes 1 & 2 to this Chapter; put up in forms or packings for retail sale or as preparations or articles~Insecticides; put up in forms or packings for retail sale or as preparations or articles~Rodenticides and other similar products n.e.c. in heading no. 3808.9; other than containing goods specified in Subheading Note 1 in this Chapter, put up in forms or packings for retail sale or as preparations or articles~Rodenticides and similar products; not containing substances of 3808.50; n.e.c. in heading no. 3808.9, in forms, packings or articles for retail sale"
5912,"Fungicides; put up in forms or packings for retail sale or as preparations or articles~Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles~Rodenticides and other similar products n.e.c. in heading no. 3808.9; other than containing goods specified in Subheading Note 1 in this Chapter, put up in forms or packings for retail sale or as preparations or articles~Rodenticides and similar products; not containing substances of 3808.50; n.e.c. in heading no. 3808.9, in forms, packings or articles for retail sale"
