HS2017,SITC2
282510,52259
282520,52259
282530,52259
282540,52259
282550,52259
282560,52259
282570,52259
282580,52259
282590,52259
282612,52311
282619,52311
282630,52311
282690,52311
282710,52312
282720,52312
282731,52312
282732,52312
282735,52312
282739,52312
282741,52312
282749,52312
282751,52312
282759,52312
282760,52312
282810,52313
282890,52313
282911,52314
282919,52314
282990,52314
283010,52315
283090,52315
283110,52316
283190,52316
283210,52317
283220,52317
283230,52317
283311,52318
283319,52318
283321,52319
283322,52319
283324,52319
283325,52319
283327,52319
283329,52319
283330,52319
283340,52319
283410,52321
283421,52321
283429,562
283510,52322
283522,52322
283524,52322
283525,52322
283526,52322
283529,52322
283531,52322
283539,52322
283620,52323
283630,52324
283640,52324
283650,52324
283660,52324
283691,52324
283692,52324
283699,52324
283711,52325
283719,52325
283720,52325
283911,59899
283919,59899
283990,59899
284011,52328
284019,52328
284020,52328
284030,52328
284130,52331
284150,52331
284161,52331
284169,52331
284170,52331
284180,52331
284190,52331
284210,52329
284290,52329
284310,52332
284321,52332
284329,52332
284330,52332
284390,52332
284410,671
284420,5241
284430,5241
284440,524
284450,5241
284510,52491
284590,52491
284610,52492
284690,52492
284700,52391
284910,52393
284920,52394
284990,52394
285000,52395
285210,598
285290,598
285310,52399
285390,52399
290110,51119
290121,51111
290122,51112
290123,51113
290124,51113
290129,5111
290211,51121
290219,51129
290220,51122
290230,51123
290241,51124
290242,51124
290243,51124
290244,51124
290250,51125
290260,51126
290270,51129
290290,51129
290311,51139
290312,51139
290313,51139
290314,51139
290315,51139
290319,51139
290321,51131
290322,51132
290323,51133
290329,51139
290331,51139
290339,51139
290371,51139
290372,51139
290373,51139
290374,51139
290375,51139
290376,51139
290377,51139
290378,51139
290379,51139
290381,51139
290382,51139
290383,51139
290389,51139
290391,51139
290392,51139
290393,51139
290394,51139
290399,51139
290410,5114
290420,5114
290431,5114
290432,5114
290433,5114
290434,5114
290435,5114
290436,5114
290491,5114
290499,5114
290511,51211
290512,51212
290513,51213
290514,51213
290516,51214
290517,51219
290519,51219
290522,51219
290529,51219
290531,51215
290532,511
290539,511
290541,511
290542,51219
290543,51219
290544,51119
290545,51218
290549,511
290551,511
290559,511
290611,5122
290612,5122
290613,5122
290619,5122
290621,5122
290629,5122
290711,51234
290712,51235
290713,51236
