ID,Title,Parent
5161,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphonated, nitrated or nitrosated derivatives",516
5221,Chemical elements,522
5225,"Other inorganic bases and metallic oxides, hydroxides and peroxides",522
5222,Inorganic acids and oxygen compounds of non,522
5223,Halogen and sulphur compounds of non,522
5224,"Metallic oxides of zinc, iron, chromium, manganese, iron, cobalt, titanium, lead",522
5231,Metallic salts and peroxysalts of inorganic acids,523
5232,Metallic salts and peroxysalts of inorganic acids (other than those falling within heading 523.1),523
5239,"Inorganic chemical products, n.e.s.",523
5233,Salts of metallic acids; organic and inorganic compounds of precious metals,523
5241,Fissile chemical elements and isotopes; other radio,524
5249,Other radio,524
5311,Synthetic organic dyestuffs (including pigment dyestuffs),531
5312,"Synthetic organic luminophores; optical bleaching agents, substantive to the fibre; natural indigo; colour lakes",531
5322,Tanning extracts of vegetable origin; tannins (tannic acids) and their derivatives; dyeing extracts of vegetable or any origin,532
5323,"Synthetic organic tanning substances, and inorganic tanning substances; tanning preparations, whether or not containing natural tanning materials; enzymatic preparations for pre",532
5331,Other colouring matter; inorganic products of a kind used as luminophores,533
5332,Printing ink,533
5334,"Varnishes and lacquers; distempers; prepared water pigments of the kind used for finishing leather; paints and enamels; pigments in linseed oil, white spirit, spirits of turpentine, varnish or other enamel or paint media; stamping foils; dyes or other colouring matter in forms or packings of a kind sold by retail",533
5335,"Colouring preparations of a kind used in the ceramic, enamelllng and glass industries; artists' colours, paint driers and rustles",533
5411,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent, not put up as medicaments falling within heading 541.7",541
5413,"Antibiotics, not put up as medicaments falling within heading 541.7",541
5414,"Vesetable alkaloids, natural or reproduced by synthesis, and their, salts, ethers, esters and other derivatives, not put up as medicaments falling withing heading 541.7",541
5415,"Hormones, natural or reproduced by synthdsis; derivatlves thereof used primarily as hormones; other steroids used primarily as hormones, not put up as medicaments falling within heading 541.7",541
5416,"Glycosides; glands or other organs and their extracts; antisera, vaccines and similar products",541
5417,Medicaments (including veterinary medicaments),541
5419,"Pharmaceutical goods, other than medicaments",541
5513,"Essential oils (terpeneless or not), concretes and absolutes; resinoids; concentrates of essential oils in fats, in fixed oils, or in waxes or the like, obtained by cold absorption or by maceration; terpenic by",551
5514,"Mixtures of odoriferous substances, used in perfumery, food etc",551
5530,"Perfumery, cosmetics and toilet preparations (excluding soaps); aqueous distillates and aqueous solutions of essential oils (including such products suitable for medicinal uses)",553
5541,Soap; organic surface,554
5542,Organic surface,554
5543,"Polishes and creams, for footwear, furniture or floors, metal polishes, scouring powders and similar preparations, but excluding prepared waxes falling within heading 598.31",554
5621,"Mineral or chemical fertilizers, nitrogenous (other than natural sodium nitrate containing not more than 16.3% by weight of nigrogen)",562
5622,"Mineral or chemical fertilizers, phosphatic",562
5629,"Fertilizers, n.e.s.",562
5623,"Mineral or chemical fertilizer, potassic (other than cride natural potassium salts)",562
5721,Propellent powders and other prepared explosives,572
5722,Safety fuses; detonating fuses; percussion and detonating caps; igniters; detonators,572
5723,"Pyrotechnic articles (e.g., fireworks, railway fog signals, amorces, rain rockets)",572
5825,Polyurethanes,582
5826,Epoxide resins,582
5821,Phenoplasts,582
5822,Aminoplasts,582
5823,Alkyds and other polyesters,582
5824,Polyamides,582
5829,"Other condensation, polycodensation or polyaddition products",582
5827,Silicones,582
5828,"Ion exchangers of the condensation, polycondensation or polyaddition type",582
5838,Ion exchangers of the polymerization or copolymerization type,583
5839,Other polymerization and copolymarization products,583
5831,Polyethylene,583
5832,Polypropylene,583
5833,Polystyrene and its copolymers,583
5836,Acrylic and methaacrylic polymers; acrylo,583
5834,Polyvinyl chloride,583
5835,Copolymers of vinyl chloride and vinyl acetate,583
5837,Polyvinyl acetate,583
5843,Cellulose acetates,584
5841,Regenerated cellulose,584
5842,Cellulose nitrates,584
5849,Other chemical derivatives of cellulose; vulcanized fibre,584
5851,"Natural resins modified by fusion (run gums); artificial resins obtained by esterification of natural resins or of resinic acids (ester gums); chemical derivatives of natural rubber (e.g., chlorinated rubber, rubber hydrochloride, oxidized rubber, cyclized rubber)",585
5852,"Other artificial plastic materials, n.e.s.",585
5911,"Insecticides, put up in forms or packings for sale by retail or as preparations or as articles",591
5912,"Fungicides, put up in forms or packings for sale by retail or as preparations or as articles",591
5913,"Weed killers (herbicides), put up in forms or packings for sale by retail or as preparations or as articles",591
5914,"Disinfectants, anti",591
5921,"Starches, insulin and wheat gluten",592
5922,Albuminoid substances; glues,592
5981,Woods and resin,598
5989,"Chemical products and preparations, n.e.s.",598
5982,Anti,598
5983,"Organic chemical products, n.e.s.",598
6118,"Leather, specially dressed or finished",611
6114,Leather of other bovine cattle (including buffalo leather) and equine leather (except leather falling within heading 611.8),611
6115,Sheep and lamb skin leather (except leather falling within heading 611.8),611
6116,Leather of other hides or skins (except leather falling within heading 611.8),611
6112,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or rolls",611
6113,Calf leather (except leather falling within heading 611.8),611
6121,Articles of leather or of composition leather of a kind used in machinery or mechanical appliances or for industrial purposes,612
6122,"Saddiery and harness, or any material (e.g., saddles, harness, collars, traces, knee",612
6123,"Parts of footwear  (including uppers, in",612
6129,Other articles of leather or of composition leather,612
6130,"Furskins, tanned or dressed (including furskins assembled in plates, crosses and similar forms); pieces of cuttings of  furskins, tanned or dressed (including heads, paws, tails and the like, not being fabricated)",613
6210,"Materials of rubber (e.g., pastes, plates, sheets, rods, thread, tubes, or rubber)",621
6251,"Tires, pneumatic, new, of a kind normally used on motor cars",625
6252,"Tires, pneumatic, new, of a kind normally used on buses and lorries",625
6253,"Tires, pneumatic, new, of a kind normally used on aircraft",625
6254,"Tires, pneumatic, new, of a kind normally used on motorcycles (including motor scooters) and bicycles",625
6259,"Other tires (including retreaded tyres), tire cases, interchangeable tyre treads, tire flaps and inner tubes",625
6281,"Hygienic and pharmaceutical articles (including teats), of unhardened vulcanized rubber, with or without fittings of hardened rubber",628
6282,"Transmission, conveyor or elevator belts or belting, of vulcanized rubber",628
6289,"Other articles of rubber, n.e.s.",628
6330,Cork manufactures,633
6341,"Wood sawn lengthwise, sliced or peeled but not further prepareded of, a thickness not exceeding 5 mm; veneer sheets and sheets for plywood, of a thickness not exceeding 5 mm",634
6342,Plywood consisting solely of sheets of wood,634
6343,Improved wood and reconstituted wood,634
6344,Wood,634
