HS2012,SITC2
210330,09803
210390,09804
210390,0488
210410,0488
210410,09805
210420,0371
210420,0149
210420,0372
210420,09801
210420,05659
210500,0730
210500,09809
210610,11249
210610,09809
210690,09809
210690,11249
220110,11101
220190,11101
220210,11102
220290,11102
220300,1123
220410,11212
220421,11212
220421,11249
220429,11212
220429,11249
220430,11211
220510,11213
220590,11213
220600,1122
220710,51216
220720,51216
220820,11242
220830,11241
220840,11249
220850,11249
220860,11249
220870,11249
220890,11249
220900,09807
230110,08141
230120,08142
230210,08121
230230,08122
230240,08122
230240,08121
230250,08123
230310,08193
230320,08193
230330,08193
230400,08131
230500,08132
230610,08133
230620,08134
230630,08135
230641,08136
230649,08136
230650,08137
230660,08138
230690,08139
230700,08194
230800,08119
230910,08199
230990,08119
230990,08199
240110,12119
240110,12111
240120,12129
240120,12121
240130,1213
240210,1221
240220,1222
240290,1222
240290,1221
240311,1223
240319,1223
240391,1223
240399,1223
250100,2783
250200,2742
250300,2741
250410,27822
250490,27822
250510,2733
250590,2733
250610,27851
250620,27851
250700,27821
250810,27821
250830,27821
250840,27821
250850,27821
250860,27821
250870,27821
250900,27891
251010,27131
251020,27132
251110,27892
251120,27892
251200,27895
251310,27722
251320,27722
251400,27311
251511,27312
251512,27312
251520,27312
251611,27313
251612,27313
251620,27313
251690,27313
251710,2734
251720,2734
251730,2734
251741,2734
251749,2734
251810,27823
251820,27823
251830,27823
251910,27824
251990,27824
252010,27323
252020,27324
252020,59899
252100,27322
252210,6611
252220,6611
252230,6611
252310,6612
252321,6612
252329,6612
252330,6612
252390,6612
252410,2784
252490,2784
252510,27852
252520,27852
252530,27852
252610,27893
252620,27893
252800,27894
252910,27854
252921,27854
252922,27854
252930,27854
253010,27899
253020,27853
253020,27899
253090,27899
253090,27853
260111,2815
260112,2816
260120,2814
260200,2877
260300,28711
260400,28721
260500,28799
260600,28731
260700,2874
260800,2875
260900,2876
261000,28791
261100,28792
261210,2860
261220,2860
261310,28793
261390,28793
261400,28793
261510,28793
261590,28793
261610,28901
261690,28901
261710,28799
261790,28799
261800,27861
261900,27862
262011,2881
262019,2881
262021,2881
262029,2881
262030,2881
262040,2881
262060,2881
262091,2881
262099,2881
262110,27862
262110,56299
262110,56239
262190,56239
262190,56299
262190,27862
270111,3221
270112,3222
270119,3222
270120,32311
270210,3223
270220,32312
270300,3224
270300,32313
270400,32322
270400,32321
270500,3415
270600,33521
270710,33522
270720,33523
270730,33524
270740,33525
270750,33525
270791,33525
270799,33525
270810,33531
270820,33532
270900,3330
271012,33421
271012,33429
271012,33451
271012,3344
271012,33411
271012,33412
271012,33419
271012,3343
271019,33411
271019,3344
271019,33412
271019,33429
271019,33419
271019,3343
271019,33451
271019,33421
271020,33419
271020,3343
271020,33451
271020,33429
271020,33421
271020,3344
271020,33412
271020,33411
271091,3343
271091,33419
271091,33411
271091,33421
271091,33412
271091,3344
271091,33429
271091,33451
271099,33451
271099,3343
271099,33419
271099,33421
271099,33412
